"","SERIALNO","AGEP","COW","JWRIP","JWTR","HINCP","atransit","bus","SC","subway","rail","bike","home"
"370",15583,48,1,1,1,73000,0,0,0,0,0,0,0
"372",15604,63,1,1,1,127000,0,0,0,0,0,0,0
"374",15660,49,3,1,1,104000,0,0,0,0,0,0,0
"375",15664,59,3,1,1,85000,0,0,0,0,0,0,0
"376",15683,56,2,1,1,160000,0,0,0,0,0,0,0
"377",15714,55,1,1,1,65900,0,0,0,0,0,0,0
"378",15804,54,7,0,11,231000,1,0,0,0,0,0,1
"379",15813,31,1,1,1,125000,0,0,0,0,0,0,0
"381",15813,23,1,1,1,125000,0,0,0,0,0,0,0
"382",16166,55,6,1,1,161000,0,0,0,0,0,0,0
"385",16166,49,2,1,1,161000,0,0,0,0,0,0,0
"386",16166,47,6,0,11,161000,1,0,0,0,0,0,1
"387",16261,63,1,1,1,36000,0,0,0,0,0,0,0
"388",16297,54,6,1,1,67600,0,0,0,0,0,0,0
"390",16384,37,1,1,1,165000,0,0,0,0,0,0,0
"392",16465,56,1,1,1,310000,0,0,0,0,0,0,0
"393",16499,60,1,0,11,97400,1,0,0,0,0,0,1
"395",16504,51,1,1,1,555000,0,0,0,0,0,0,0
"396",16555,40,3,1,1,45000,0,0,0,0,0,0,0
"397",16556,33,2,1,1,492900,0,0,0,0,0,0,0
"398",16556,33,6,1,1,492900,0,0,0,0,0,0,0
"402",16636,55,2,1,1,80000,0,0,0,0,0,0,0
"403",16664,35,1,1,1,210000,0,0,0,0,0,0,0
"404",16815,26,1,0,2,147300,1,1,0,0,0,0,0
"405",16815,24,1,1,1,147300,0,0,0,0,0,0,0
"406",16815,55,1,1,1,147300,0,0,0,0,0,0,0
"407",16815,48,1,0,2,147300,1,1,0,0,0,0,0
"408",17107,44,1,0,11,80000,1,0,0,0,0,0,1
"410",17114,53,1,1,1,767000,0,0,0,0,0,0,0
"412",17157,50,2,1,1,295850,0,0,0,0,0,0,0
"413",17157,28,1,1,1,295850,0,0,0,0,0,0,0
"416",17168,50,1,0,4,140000,1,0,0,1,0,0,0
"417",17226,28,5,1,1,131000,0,0,0,0,0,0,0
"418",17226,29,1,0,4,131000,1,0,0,1,0,0,0
"419",17251,62,1,1,1,96900,0,0,0,0,0,0,0
"420",17282,64,1,0,11,173000,1,0,0,0,0,0,1
"421",17430,44,1,1,1,124000,0,0,0,0,0,0,0
"422",17430,59,4,0,2,124000,1,1,0,0,0,0,0
"423",17471,51,1,0,6,80250,0,0,0,0,0,0,0
"424",17472,48,3,1,1,89000,0,0,0,0,0,0,0
"425",17613,50,1,1,1,93000,0,0,0,0,0,0,0
"426",17613,44,1,1,1,93000,0,0,0,0,0,0,0
"427",17622,40,1,1,1,100000,0,0,0,0,0,0,0
"428",17622,36,1,0,10,100000,0,0,0,0,0,0,0
"429",17718,64,2,1,1,208000,0,0,0,0,0,0,0
"430",17718,30,1,1,1,208000,0,0,0,0,0,0,0
"431",17765,61,1,1,1,410300,0,0,0,0,0,0,0
"433",17891,65,2,0,11,151000,1,0,0,0,0,0,1
"434",17891,60,6,0,11,151000,1,0,0,0,0,0,1
"435",17905,60,2,1,1,196000,0,0,0,0,0,0,0
"439",18166,54,1,0,11,102860,1,0,0,0,0,0,1
"440",18166,32,3,1,1,102860,0,0,0,0,0,0,0
"441",18166,30,1,1,1,102860,0,0,0,0,0,0,0
"443",18199,28,6,0,2,235200,1,1,0,0,0,0,0
"444",18199,28,1,1,1,235200,0,0,0,0,0,0,0
"445",18614,45,2,0,4,105400,1,0,0,1,0,0,0
"446",18614,51,6,1,1,105400,0,0,0,0,0,0,0
"450",18798,42,1,1,1,555300,0,0,0,0,0,0,0
"451",18798,34,5,1,1,555300,0,0,0,0,0,0,0
"452",18829,28,6,0,2,-5300,1,1,0,0,0,0,0
"453",18842,51,1,0,4,225000,1,0,0,1,0,0,0
"454",18878,39,1,1,1,53100,0,0,0,0,0,0,0
"456",18887,48,7,1,1,43000,0,0,0,0,0,0,0
"459",19199,61,1,1,1,100000,0,0,0,0,0,0,0
"461",19216,45,1,0,9,114000,1,0,0,0,0,1,0
"462",19216,45,1,1,1,114000,0,0,0,0,0,0,0
"464",19388,63,7,1,1,41600,0,0,0,0,0,0,0
"466",19617,41,1,1,1,67100,0,0,0,0,0,0,0
"467",19617,41,1,1,1,67100,0,0,0,0,0,0,0
"469",19647,55,1,1,1,42400,0,0,0,0,0,0,0
"471",19660,31,1,1,1,100000,0,0,0,0,0,0,0
"473",19811,56,6,1,1,408000,0,0,0,0,0,0,0
"474",19811,62,5,1,1,408000,0,0,0,0,0,0,0
"475",19993,58,1,1,1,180000,0,0,0,0,0,0,0
"476",19993,58,1,1,1,180000,0,0,0,0,0,0,0
"477",20029,57,1,1,1,106500,0,0,0,0,0,0,0
"478",20029,35,1,0,4,106500,1,0,0,1,0,0,0
"479",20082,64,2,0,5,120000,1,0,0,0,1,0,0
"480",20165,41,6,1,1,46200,0,0,0,0,0,0,0
"481",20165,36,1,1,1,46200,0,0,0,0,0,0,0
"483",20176,36,6,0,11,555000,1,0,0,0,0,0,1
"484",20344,55,4,1,1,35000,0,0,0,0,0,0,0
"486",20429,54,1,0,4,220700,1,0,0,1,0,0,0
"487",20429,50,1,1,1,220700,0,0,0,0,0,0,0
"488",20429,32,1,0,4,220700,1,0,0,1,0,0,0
"489",20429,27,1,1,1,220700,0,0,0,0,0,0,0
"490",20429,27,2,1,1,220700,0,0,0,0,0,0,0
"491",20429,24,1,1,1,220700,0,0,0,0,0,0,0
"492",20477,32,1,1,1,452110,0,0,0,0,0,0,0
"494",20646,33,3,0,5,58000,1,0,0,0,1,0,0
"496",20689,62,6,0,11,125100,1,0,0,0,0,0,1
"497",20689,59,1,0,4,125100,1,0,0,1,0,0,0
"498",20689,23,2,0,4,125100,1,0,0,1,0,0,0
"499",20697,27,1,1,1,106350,0,0,0,0,0,0,0
"500",20697,28,1,1,1,106350,0,0,0,0,0,0,0
"501",20765,31,3,1,1,68000,0,0,0,0,0,0,0
"502",20765,35,1,1,1,68000,0,0,0,0,0,0,0
"503",20925,36,1,1,1,200000,0,0,0,0,0,0,0
"504",20925,37,1,1,1,200000,0,0,0,0,0,0,0
"505",21230,60,1,1,1,127900,0,0,0,0,0,0,0
"506",21230,35,1,0,2,127900,1,1,0,0,0,0,0
"507",21230,33,1,1,1,127900,0,0,0,0,0,0,0
"509",21243,39,2,1,1,130000,0,0,0,0,0,0,0
"510",21243,37,2,1,1,130000,0,0,0,0,0,0,0
"511",21310,50,1,1,1,325000,0,0,0,0,0,0,0
"512",21310,51,1,1,1,325000,0,0,0,0,0,0,0
"513",21419,34,3,1,1,132000,0,0,0,0,0,0,0
"514",21419,29,2,1,1,132000,0,0,0,0,0,0,0
"515",21486,44,1,1,1,163000,0,0,0,0,0,0,0
"516",21486,45,1,1,1,163000,0,0,0,0,0,0,0
"517",21510,33,1,1,1,132300,0,0,0,0,0,0,0
"519",21510,31,1,1,1,132300,0,0,0,0,0,0,0
"520",21510,30,1,1,1,132300,0,0,0,0,0,0,0
"521",21510,24,1,1,1,132300,0,0,0,0,0,0,0
"522",21581,61,2,1,1,115000,0,0,0,0,0,0,0
"523",21581,63,1,1,1,115000,0,0,0,0,0,0,0
"524",21593,26,1,0,2,37200,1,1,0,0,0,0,0
"525",21634,47,1,1,1,138000,0,0,0,0,0,0,0
"526",21634,40,1,1,1,138000,0,0,0,0,0,0,0
"528",21708,41,1,1,1,233000,0,0,0,0,0,0,0
"529",21708,35,1,1,1,233000,0,0,0,0,0,0,0
"530",21743,33,1,1,1,96000,0,0,0,0,0,0,0
"532",21788,32,1,1,1,70000,0,0,0,0,0,0,0
